Purchases,Ads,SharesInfo,SharesLocation,UsersInteract,AgeRating,Category,PaidApp,Rating,EditorsChoice,RelativeDownloadsPerformance,CompanyIsExperienced,PC1,Cluster
1,1,0,0,1,0,13,0,4.5,0,1.1103708,0,0.5560864666064921,2
1,1,0,0,0,3,2,0,4.5,1,9.90363566,1,2.925034220963068,0
1,1,1,0,1,3,5,0,4.5,0,2.87060447,1,1.0303018651051694,2
1,1,0,0,0,0,9,0,4.6,0,0.22140351,0,0.5019455598074334,2
1,1,0,0,0,0,13,0,4.5,1,18.78471648,1,5.3176400163943605,0
1,1,0,0,1,0,12,0,3.4,0,1.05411721,1,-1.4979311430456377,3
1,1,0,0,0,0,15,0,4.6,0,2.5251316,1,1.1225809634194743,2
1,0,0,0,1,3,0,0,4.3,1,35.44812229,1,9.436139218445842,0
1,1,0,0,0,0,0,0,4.2,0,28.90468965,0,7.487955914160743,0
1,1,0,0,0,3,12,0,4.3,0,1.28982979,0,0.2337312847753125,2
1,0,0,0,1,2,0,0,4.3,1,67.83389524,0,18.16102187858269,0
1,1,0,0,0,1,10,0,4.4,0,2.35052118,1,0.704837783266837,2
1,1,0,0,0,0,0,0,3.8,0,0.12756758,1,-1.0061434700992373,3
1,1,0,0,0,0,9,0,4.0,0,17.14333939,1,3.9486894134559307,0
1,1,0,0,0,0,13,0,4.4,1,13.5505975,1,3.722192095836279,0
1,1,0,0,0,3,0,0,4.0,0,22.43118799,1,5.373261204001039,0
1,1,0,0,0,0,13,0,4.2,0,4.45538251,1,0.9011952323180094,2
1,0,0,0,1,3,1,0,4.6,0,0.41682095,0,0.5545919560004978,2
0,1,0,0,0,0,9,0,4.7,0,0.30084852,1,0.7086995742806923,2
0,1,0,0,0,0,2,0,4.6,0,0.2140366,1,0.49996087889779384,2
1,1,0,0,0,0,2,0,4.5,0,1.78508897,1,0.7378587797453748,2
0,1,1,0,0,0,10,0,3.2,0,0.26773697,1,-2.0804880487423203,3
0,0,0,0,0,0,8,0,3.5,0,0.17956374,1,-1.5481888975611726,3
1,1,0,0,1,0,2,0,4.3,0,1.37411165,1,0.25643722234899263,2
1,1,0,0,0,2,12,0,4.6,0,0.39243101,0,0.5480211891110889,2
1,0,0,0,0,3,0,0,4.5,1,8.05255255,1,2.426343547319254,2
1,1,0,0,0,3,0,0,4.1,0,5.67275706,1,1.043810631069464,2
1,1,0,0,0,0,3,0,4.4,0,5.56270692,1,1.5702160377038623,2
1,1,0,0,0,0,10,0,4.5,0,0.61245756,0,0.4219462501405866,2
1,1,0,0,0,0,9,0,4.4,0,0.98046393,1,0.33573778487017153,2
1,1,0,0,0,0,10,0,4.1,0,1.04647572,0,-0.20253176460525932,1
1,1,0,0,0,1,10,0,3.7,0,0.43248373,1,-1.1093487434233635,3
1,0,0,0,0,0,10,1,4.6,0,0.06446594,1,0.4596658252668685,2
1,1,0,0,1,2,0,0,4.2,0,2.0994033,1,0.26648312621180337,2
1,1,1,0,0,2,0,1,4.5,1,1.52429371,1,0.6675992850798357,2
1,1,0,0,0,0,12,0,4.1,0,0.10395874,1,-0.4564503623914685,1
1,1,0,0,0,0,12,0,3.9,0,0.03475643,0,-0.8457960918302805,1
1,1,0,0,0,0,9,0,4.7,0,1.6640292,1,1.0759469917169822,2
1,1,0,0,0,0,16,0,4.3,0,1.7153279,1,0.3483625176809331,2
1,1,0,0,1,1,14,0,4.4,0,0.63159443,0,0.2417506672583743,2
1,1,0,0,0,0,15,0,4.5,0,0.49926659,0,0.3914520595908727,2
1,1,0,0,0,2,12,0,4.7,0,0.87042729,0,0.8621468284693583,2
1,1,0,0,0,0,6,0,4.2,0,8.06306324,1,1.873121735140195,2
1,0,1,1,1,0,1,0,4.2,1,24.14661481,1,6.206107717076121,0
1,1,0,0,1,0,9,0,4.5,0,0.27981432,1,0.3323305648466608,2
0,0,0,0,0,0,8,0,3.6,0,0.62151973,1,-1.2437726852952504,3
0,0,0,0,0,3,15,0,4.5,0,0.59197122,1,0.4164271318255282,2
1,0,0,0,1,1,14,0,4.3,1,24.10906076,1,6.38134162327769,0
1,0,0,0,1,1,14,0,4.6,1,17.01925506,1,5.02736738445923,0
