fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews
Online Soccer Manager (OSM),gamebasics bv,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,sports,0.59,109.99,free,0.0,4.5,"1,656,120",1656120
Hungry Shark Evolution,ubisoft entertainment,1.0,1.0,0.0,0.0,0.0,0.0,1,16+,0.0,100000000.0,arcade,2.29,109.99,free,0.0,4.5,"6,495,234",6495234
Zynga Poker ? Free Texas Holdem Online Card Games,zynga,1.0,1.0,1.0,0.0,0.0,1.0,1,12+,0.0,50000000.0,casino,0.59,350.00,free,0.0,4.5,"2,315,552",2315552
Sudoku - The Clean One,dustland design,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.89,2.99,free,0.0,4.6,"6,639",6639
8 Ball Pool,miniclip.com,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000000.0,sports,0.79,99.99,free,0.0,4.5,"17,053,699",17053699
VR Thrills: Roller Coaster 360 (Google Cardboard),rabbit mountain,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,simulation,0.99,19.99,free,0.0,3.4,"35,012",35012
"94% - Quiz, Trivia & Logic",scimob,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,trivia,0.99,17.99,free,0.0,4.6,"2,498,627",2498627
PUBG MOBILE,tencent games,1.0,0.0,0.0,0.0,0.0,1.0,1,16+,0.0,100000000.0,action,0.89,209.99,free,0.0,4.3,"21,900,921",21900921
slither.io,lowtech studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,action,4.24,4.24,free,0.0,4.2,"5,834,978",5834978
Rick and Morty: Pocket Mortys,[adult swim] games,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,simulation,1.09,104.99,free,0.0,4.3,"234,239",234239
Garena Free Fire - Anniversary,garena international i private limited,1.0,0.0,0.0,0.0,0.0,1.0,1,12+,0.0,100000000.0,action,1.09,119.99,free,0.0,4.3,"35,095,634",35095634
Trials Frontier,ubisoft entertainment,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,10000000.0,racing,0.49,109.99,free,0.0,4.4,"1,096,370",1096370
Switch,vrt,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,trivia,1.09,9.99,free,0.0,4.4,"4,793",4793
Jumpr!,magicant.inc,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,action,1.19,3.39,free,0.0,3.8,"3,383",3383
Happy Glass,lion studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,puzzle,1.09,104.99,free,0.0,4.0,"720,356",720356
Score! Hero,first touch games ltd.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,sports,1.09,64.99,free,0.0,4.4,"6,050,471",6050471
Kick the Buddy,playgendary,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,100000000.0,action,1.19,94.99,free,0.0,4.0,"2,198,759",2198759
Score! Match,first touch games ltd.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,sports,2.29,104.99,free,0.0,4.2,"496,531",496531
BBTAN : 7Years,111%,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,arcade,3.29,3.29,free,0.0,4.0,"5,636",5636
Old School RuneScape,jagex games studio,1.0,0.0,0.0,0.0,0.0,1.0,1,16+,0.0,1000000.0,adventure,5.69,88.99,free,0.0,4.6,"53,827",53827
Minesweeper,evgeny karavashkin,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,,,free,0.0,4.7,"235,476",235476
Tank Hero: Laser Wars,clapfoot inc.,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,arcade,,,free,0.0,4.6,"163,505",163505
BBTAN by 111%,111%,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,1.09,8.69,free,0.0,4.5,"467,351",467351
VR Racer - Highway Traffic 360 (Google Cardboard),rabbit mountain,0.0,1.0,1.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,racing,,,free,0.0,3.2,"3,716",3716
SingStar? Mic,playstation mobile inc.,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,music,,,free,0.0,3.5,"24,787",24787
Hexar.io - io games,mochibits,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,arcade,0.99,54.99,free,0.0,4.3,"277,952",277952
Real Racing  3,electronic arts,1.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,racing,1.09,109.99,free,0.0,4.5,"6,178,910",6178910
Trailer Park Boys: Greasy Money - Tap & Make Cash,east side games studio,1.0,1.0,0.0,0.0,0.0,0.0,1,16+,0.0,1000000.0,simulation,2.09,104.99,free,0.0,4.6,"228,469",228469
Last Day on Earth: Survival,kefir!,1.0,0.0,0.0,0.0,0.0,0.0,1,16+,0.0,50000000.0,action,0.59,114.99,free,0.0,4.5,"3,409,129",3409129
PIXEL'S UNKNOWN BATTLE GROUND,azur interactive games limited,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,action,0.59,26.99,free,0.0,4.1,"484,636",484636
Motorsport Manager Mobile,christian west,1.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,1000000.0,racing,3.39,6.99,free,0.0,4.5,"95,579",95579
Checkers,chess & checkers lukasz oktaba,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,50000000.0,board,2.39,2.39,free,0.0,4.4,"650,767",650767
Planet Gold Rush,truly social games,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,casual,1.09,154.99,no info available,0.0,4.5,"42,097",42097
FR Legends,"twin turbo tech co., ltd",1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,racing,2.09,104.99,free,0.0,4.5,"63,315",63315
Cut It: Brain Puzzles,super game studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,1.09,5.49,free,0.0,4.4,"115,497",115497
Real Moto,dreamplay games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,racing,1.09,99.99,free,0.0,4.1,"166,795",166795
PAKO 2,tree men games,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,1000000.0,racing,0.59,4.79,free,0.0,3.7,"22,232",22232
Motorsport Manager Mobile 3,playsport games,1.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,100000.0,racing,2.39,11.99,4.49,1.0,4.6,"16,801",16801
Gangstar New Orleans OpenWorld,gameloft se,1.0,1.0,0.0,0.0,0.0,1.0,1,18+,0.0,10000000.0,action,0.50,99.99,free,0.0,4.2,"461,151",461151
Hitman Sniper,square enix ltd,1.0,1.0,1.0,0.0,0.0,0.0,1,18+,0.0,10000000.0,action,0.99,54.99,0.99,1.0,4.5,"733,331",733331
My Colony,brandon stecklein,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,simulation,5.49,5.49,free,0.0,4.1,"45,959",45959
Gold Rush Sim - Klondike Yukon gold rush simulator,a&b development,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,simulation,1.99,7.99,free,0.0,3.9,"3,565",3565
2048,androbaby,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,1.19,1.19,free,0.0,4.7,"234,639",234639
Escape Room: Mystery Word,worzzle team,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,word,1.09,109.99,free,0.0,4.3,"124,644",124644
EMERGENCY HQ - free rescue strategy game,promotion software gmbh,1.0,1.0,0.0,0.0,0.0,1.0,1,7+,0.0,1000000.0,strategy,4.99,99.99,free,0.0,4.4,"81,298",81298
TRIVIA 360,smart owl apps,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,trivia,3.99,3.99,free,0.0,4.5,"89,26",8926
Hempire - Plant Growing Game,lbc studios inc.,1.0,1.0,0.0,0.0,0.0,0.0,1,18+,0.0,5000000.0,simulation,1.99,79.99,free,0.0,4.7,"203,66",20366
Bubble Shooter,bubble shooter,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,casual,0.99,109.99,free,0.0,4.2,"629,834",629834
Pok?mon GO,"niantic, inc.",1.0,0.0,1.0,1.0,0.0,1.0,1,everyone,0.0,100000000.0,adventure,0.99,109.99,free,0.0,4.2,"12,326,476",12326476
Bejeweled Stars: Free Match 3,electronic arts,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,puzzle,1.09,109.99,free,0.0,4.5,"102,21",10221
Just Dance Controller,ubisoft entertainment,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,music,,,free,0.0,3.6,"82,19",8219
Knowledge is Power,playstation mobile inc.,0.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,1000000.0,trivia,,,free,0.0,4.5,"11,371",11371
Clash Royale,supercell,1.0,0.0,0.0,0.0,0.0,1.0,1,7+,0.0,100000000.0,strategy,1.09,109.99,free,0.0,4.3,"27,311,025",27311025
Clash of Clans,supercell,1.0,0.0,0.0,0.0,0.0,1.0,1,7+,0.0,500000000.0,strategy,1.09,109.99,free,0.0,4.6,"50,202,117",50202117
Hey Love Adam: Texting Game,nutnut,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,1000000.0,simulation,4.49,17.99,free,0.0,4.5,"98,861",98861
Not Not - A Brain-Buster,altshift,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,0.99,29.99,free,0.0,4.4,"53,825",53825
YAHTZEE? With Buddies Dice Game,scopely,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,board,0.99,109.99,free,0.0,4.3,"115,956",115956
Domino,ketchapp,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,arcade,3.49,3.49,free,0.0,3.8,"10,361",10361
Marble Solitaire,panagola,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.49,1.49,free,0.0,4.4,"8,273",8273
Hole.io,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,50000000.0,arcade,0.99,4.19,free,0.0,4.4,"777,198",777198
Dot to Dot : Connect the Dots,dot to dot s.r.o.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,0.59,59.99,free,0.0,4.1,"80,235",80235
Solitaire,zynga,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,card,0.99,349.99,free,0.0,4.3,"632,907",632907
Coin Dozer - Free Prizes,game circus llc,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,50000000.0,casino,0.59,105.00,free,0.0,4.6,"1,333,357",1333357
Design Home,crowdstar inc,1.0,1.0,0.0,1.0,0.0,1.0,1,everyone,0.0,10000000.0,simulation,1.09,109.99,free,0.0,4.4,"733,062",733062
Yatzy - Offline Free Dice Games,sng games,0.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,100000.0,board,,,free,0.0,4.5,"16,226",16226
Bubble Shooter Classic Free,absolutist ltd,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,arcade,0.99,4.99,free,0.0,4.2,"2,306",2306
Mastermind,rottz games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,3.34,3.34,free,0.0,4.6,"18,467",18467
Bubble Shooter,candy bubble studio,0.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,50000000.0,casual,,,free,0.0,4.3,"426,723",426723
Chess,chess & checkers lukasz oktaba,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,0.59,9.99,free,0.0,4.5,"56,086",56086
What's my IQ? <U+0001F4AF>,klikapp,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,,,free,0.0,3.8,"7,692",7692
Carmageddon,handygames,1.0,1.0,0.0,0.0,0.0,0.0,1,18+,0.0,1000000.0,action,0.99,0.99,free,0.0,4.7,"83,185",83185
Color Road,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.99,4.99,free,0.0,4.0,"207,661",207661
Candy Crush Saga,king,1.0,0.0,1.0,0.0,0.0,1.0,1,everyone,0.0,500000000.0,casual,0.89,169.99,free,0.0,4.6,"26,231,459",26231459
HQ - Trivia & Words,intermedia labs,1.0,0.0,0.0,0.0,0.0,1.0,1,everyone,0.0,5000000.0,trivia,5.49,104.99,free,0.0,3.3,"29,057",29057
TETRIS,electronic arts,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,1.09,109.99,free,0.0,3.9,"368,826",368826
Block! Hexa Puzzle?,bitmango,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,puzzle,0.99,9.99,free,0.0,4.4,"509,846",509846
Puzzle IO Binairo Sudoku,99 up games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000.0,board,,,free,0.0,4.5,"1,186",1186
Rummikub,kinkajoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,3.49,109.99,free,0.0,4.4,"36,681",36681
Mazes & More,leo de sol games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,puzzle,0.99,41.99,free,0.0,4.3,"475,042",475042
Riddles - Just 500 Riddles,tla quiz n button,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,trivia,,,free,0.0,4.4,"34,519",34519
Find the Differences 500 levels,pandoragames,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,,,free,0.0,4.5,"352,832",352832
Block Puzzle,fast fun,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,,,free,0.0,4.5,"191,429",191429
Solitaire: Super Challenges,queens solitaire games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,card,1.09,3.29,free,0.0,4.6,"97,153",97153
"50 US States Map, Capitals & Flags - American Quiz",andrey solovyev,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000.0,trivia,,,free,0.0,4.5,"3,789",3789
Learn Chess: From Beginner to Club Player,chess king,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,educational,7.99,7.99,free,0.0,4.3,"9,225",9225
Operate Now: Hospital,spil games,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,simulation,0.99,49.99,no info available,0.0,4.1,"427,602",427602
Math Puzzles,applabs,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,,,free,0.0,4.2,"19,47",1947
World Map Quiz,qbis studio,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,trivia,1.19,4.99,free,0.0,4.4,"20,256",20256
Agar.io,miniclip.com,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,action,0.99,99.99,free,0.0,4.1,"3,930,189",3930189
Uphill Rush Water Park Racing,spil games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,racing,0.89,89.99,free,0.0,4.1,"593,08",59308
Cut the Rope 2,zeptolab,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,puzzle,0.89,44.49,free,0.0,4.6,"2,245,139",2245139
Woord Kruis,weplay word games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000.0,word,0.99,49.99,free,0.0,4.5,"6,897",6897
Word Game - Addictive Puzzle & Merge Fun,worzzle team,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,word,1.09,54.99,free,0.0,4.5,"2,475",2475
Microsoft Solitaire Collection,microsoft corporation,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,card,1.09,10.99,free,0.0,4.5,"110,375",110375
Magic Tiles 3,amanotes,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,music,0.79,20.99,free,0.0,4.2,"1,135,889",1135889
Subway Surfers,kiloo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000000.0,arcade,1.09,109.99,free,0.0,4.5,"31,093,927",31093927
Left vs Right: Brain Games for Brain Training,mochibits,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,educational,1.09,54.99,no info available,0.0,4.6,"87,736",87736
Puzzle Game,mahjong solitaire mahjongg,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,strategy,,,free,0.0,4.3,"210,917",210917
"Cash, Inc. Money Clicker Game & Business Adventure",lion studios,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,simulation,0.89,54.99,free,0.0,4.7,"1,080,141",1080141
Idle Miner Tycoon - Mine Manager Simulator,kolibri games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,simulation,0.99,119.99,free,0.0,4.7,"2,039,041",2039041
One More Brick,rifter games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,arcade,0.99,6.99,free,0.0,4.5,"62,629",62629
Idle Farming Empire,futureplay,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,simulation,1.99,119.99,free,0.0,4.4,"301,129",301129
Human Evolution Clicker Game: Rise of Mankind,wazzapps,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.59,24.99,free,0.0,4.3,"403,668",403668
Idle City Empire,futureplay,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,simulation,1.99,49.99,free,0.0,4.4,"104,356",104356
