purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3,install_scaled,rating_scaled,predictor
1,1,0,0,1,everyone,0,0,Sports,0,0,1.11,4.5,0.042028452,0.938623539,0.039448894
1,1,0,0,0,16+,0,0,Arcade,1,1,9.9,4.4,3.400230307,0.664799597,2.260471739
1,1,1,0,1,12+,0,0,Casino,0,1,2.87,4.3,0.714432919,0.390975656,0.279325879
1,1,0,0,0,everyone,0,0,Puzzle,0,0,0.22,4.5,-0.297994262,0.938623539,-0.279704428
1,1,0,0,0,everyone,0,0,Sports,1,1,18.78,4.4,6.792816482,0.664799597,4.515861662
1,1,0,0,1,everyone,0,0,Simulation,0,1,1.05,3.4,0.019105572,-2.073439817,-0.039614254
1,1,0,0,0,everyone,0,0,Trivia,0,1,2.53,4.5,0.584536601,0.938623539,0.548659813
1,0,0,0,1,16+,0,0,Action,1,1,35.45,4.2,13.16155652,0.117151715,1.541898912
1,1,0,0,0,everyone,0,0,Action,0,0,28.9,4.1,10.65914217,-0.156672227,-1.66999154
1,1,0,0,0,12+,0,0,Simulation,0,0,1.29,4.1,0.11079709,-0.156672227,-0.017358827
1,0,0,0,1,12+,0,0,Action,1,0,67.83,4.2,25.53227052,0.117151715,2.991149267
1,1,0,0,0,7+,0,0,Racing,0,1,2.35,4.3,0.515767963,0.390975656,0.201652718
1,1,0,0,0,everyone,0,0,Action,0,1,0.13,3.8,-0.332378581,-0.978144051,0.325114132
1,1,0,0,0,everyone,0,0,Puzzle,0,1,17.14,3.8,6.166257774,-0.978144051,-6.031488359
1,1,0,0,0,everyone,0,0,Sports,1,1,13.55,4.2,4.79470548,0.117151715,0.561707968
1,1,0,0,0,7+,0,0,Action,0,1,22.43,4,8.187291655,-0.430496168,-3.524597686
1,1,0,0,0,everyone,0,0,Sports,0,1,4.46,4.2,1.321889227,0.117151715,0.154861589
1,0,0,0,1,16+,0,0,Adventure,0,0,0.42,4.6,-0.221584663,1.21244748,-0.268659766
0,1,0,0,0,everyone,0,0,Puzzle,0,1,0.3,4.5,-0.267430422,0.938623539,-0.251016489
0,1,0,0,0,everyone,0,0,Arcade,0,1,0.21,4.5,-0.301814742,0.938623539,-0.283290421
1,1,0,0,0,everyone,0,0,Arcade,0,1,1.79,4.4,0.301821087,0.664799597,0.200650537
0,1,1,0,0,everyone,0,0,Racing,0,1,0.27,3.3,-0.278891862,-2.347263758,0.65463276
0,0,0,0,0,everyone,0,0,Music,0,1,0.18,3.4,-0.313276181,-2.073439817,0.649559308
1,1,0,0,1,everyone,0,0,Arcade,0,1,1.37,4.2,0.14136093,0.117151715,0.016560675
1,1,0,0,0,16+,0,0,Simulation,0,0,0.39,4.6,-0.233046103,1.21244748,-0.28255616
1,0,0,0,0,16+,0,0,Action,1,1,8.05,4.3,2.693441521,0.390975656,1.053070065
1,1,0,0,0,12+,0,0,Action,0,1,5.67,4.1,1.784167298,-0.156672227,-0.279529464
1,1,0,0,0,7+,0,0,Board,0,1,5.56,4.4,1.742142019,0.664799597,1.158175313
1,1,0,0,0,everyone,0,0,Racing,0,0,0.61,4.5,-0.148995544,0.938623539,-0.139850725
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.98,4.1,-0.007637787,-0.156672227,0.001196629
1,1,0,0,0,everyone,0,0,Racing,0,0,1.05,3.8,0.019105572,-0.978144051,-0.018688002
