appname,fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews,Released,Last Updated,CompanyIsExperienced
com.gamebasics.osm,Online Soccer Manager (OSM),gamebasics bv,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,sports,0.59,109.99,free,0.0,4.5,"1,656,120",1656120,"Oct 4, 2012","Nov 26, 2020",False
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,ubisoft entertainment,1.0,1.0,0.0,0.0,0.0,0.0,1,16+,0.0,100000000.0,arcade,2.29,109.99,free,0.0,4.5,"6,495,234",6495234,"Feb 22, 2013","Oct 27, 2020",True
com.zynga.livepoker,Zynga Poker ? Free Texas Holdem Online Card Games,zynga,1.0,1.0,1.0,0.0,0.0,1.0,1,12+,0.0,50000000.0,casino,0.59,350.00,free,0.0,4.5,"2,315,552",2315552,"Dec 21, 2010","Nov 04, 2020",True
ee.dustland.android.dustlandsudoku,Sudoku - The Clean One,dustland design,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.89,2.99,free,0.0,4.6,"6,639",6639,"Jul 20, 2017","Oct 29, 2020",False
com.miniclip.eightballpool,8 Ball Pool,miniclip.com,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000000.0,sports,0.79,99.99,free,0.0,4.5,"17,053,699",17053699,"Jan 23, 2013","Nov 26, 2020",True
com.rabbitmountain.rollercoaster,VR Thrills: Roller Coaster 360 (Google Cardboard),rabbit mountain,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,simulation,0.99,19.99,free,0.0,3.4,"35,012",35012,"Dec 7, 2016","Feb 14, 2020",True
com.scimob.ninetyfour.percent,"94% - Quiz, Trivia & Logic",scimob,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,trivia,0.99,17.99,free,0.0,4.6,"2,498,627",2498627,"Feb 8, 2015","Nov 02, 2020",True
com.tencent.ig,PUBG MOBILE,tencent games,1.0,0.0,0.0,0.0,0.0,1.0,1,16+,0.0,100000000.0,action,0.89,209.99,free,0.0,4.3,"21,900,921",21900921,"Mar 19, 2018","Nov 09, 2020",True
air.com.hypah.io.slither,slither.io,lowtech studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,action,4.24,4.24,free,0.0,4.2,"5,834,978",5834978,"Mar 25, 2016","Dec 20, 2019",False
com.turner.pocketmorties,Rick and Morty: Pocket Mortys,[adult swim] games,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,simulation,1.09,104.99,free,0.0,4.3,"234,239",234239,"Jan 13, 2016","Oct 05, 2020",False
com.dts.freefireth,Garena Free Fire - Anniversary,garena international i private limited,1.0,0.0,0.0,0.0,0.0,1.0,1,12+,0.0,100000000.0,action,1.09,119.99,free,0.0,4.3,"35,095,634",35095634,"Dec 7, 2017","Sep 29, 2020",False
com.ubisoft.redlynx.trialsfrontier.ggp,Trials Frontier,ubisoft entertainment,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,10000000.0,racing,0.49,109.99,free,0.0,4.4,"1,096,370",1096370,"May 22, 2014","Jul 13, 2020",True
com.gamestart.riser,Jumpr!,magicant.inc,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,action,1.19,3.39,free,0.0,3.8,"3,383",3383,"Mar 26, 2018","Sep 11, 2020",True
com.game5mobile.lineandwater,Happy Glass,lion studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,puzzle,1.09,104.99,free,0.0,4.0,"720,356",720356,"Aug 28, 2018","Sep 09, 2020",True
com.firsttouchgames.story,Score! Hero,first touch games ltd.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,sports,1.09,64.99,free,0.0,4.4,"6,050,471",6050471,"Nov 19, 2015","Sep 23, 2020",True
com.playgendary.kickthebuddy,Kick the Buddy,playgendary,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,100000000.0,action,1.19,94.99,free,0.0,4.0,"2,198,759",2198759,"May 22, 2018","Aug 01, 2019",True
com.firsttouchgames.smp,Score! Match,first touch games ltd.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,sports,2.29,104.99,free,0.0,4.2,"496,531",496531,"Mar 7, 2018","Nov 26, 2020",True
com.jagex.oldscape.android,Old School RuneScape,jagex games studio,1.0,0.0,0.0,0.0,0.0,1.0,1,16+,0.0,1000000.0,adventure,5.69,88.99,free,0.0,4.6,"53,827",53827,"Aug 6, 2018","Nov 18, 2020",False
Draziw.Button.Mines,Minesweeper,evgeny karavashkin,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,,,free,0.0,4.7,"235,476",235476,"Jul 10, 2012","Nov 23, 2020",True
com.clapfootgames.laserwarsfree,Tank Hero: Laser Wars,clapfoot inc.,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,arcade,,,free,0.0,4.6,"163,505",163505,"May 25, 2012","Sep 11, 2018",True
com.crater.bbtan,BBTAN by 111%,111%,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,1.09,8.69,free,0.0,4.5,"467,351",467351,"Dec 4, 2015","Jul 27, 2020",True
com.rabbitmountain.vrhighway,VR Racer - Highway Traffic 360 (Google Cardboard),rabbit mountain,0.0,1.0,1.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,racing,,,free,0.0,3.2,"3,716",3716,"May 26, 2017","Mar 07, 2020",True
com.sony.singstar,SingStar? Mic,playstation mobile inc.,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,music,,,free,0.0,3.5,"24,787",24787,"Oct 27, 2014","Oct 25, 2017",True
com.mochibits.hexario.google,Hexar.io - io games,mochibits,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,arcade,0.99,54.99,free,0.0,4.3,"277,952",277952,"Jan 19, 2017","Sep 28, 2019",True
com.eastsidegames.trailerparkboys,Trailer Park Boys: Greasy Money - Tap & Make Cash,east side games studio,1.0,1.0,0.0,0.0,0.0,0.0,1,16+,0.0,1000000.0,simulation,2.09,104.99,free,0.0,4.6,"228,469",228469,"Apr 19, 2017","Nov 13, 2020",False
zombie.survival.craft.z,Last Day on Earth: Survival,kefir!,1.0,0.0,0.0,0.0,0.0,0.0,1,16+,0.0,50000000.0,action,0.59,114.99,free,0.0,4.5,"3,409,129",3409129,"May 24, 2017","Oct 28, 2020",True
com.azurgames.BattleGroundRoyale,PIXEL'S UNKNOWN BATTLE GROUND,azur interactive games limited,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,action,0.59,26.99,free,0.0,4.1,"484,636",484636,"Aug 29, 2017","Dec 27, 2019",True
pl.lukok.draughts,Checkers,chess & checkers lukasz oktaba,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,50000000.0,board,2.39,2.39,free,0.0,4.4,"650,767",650767,"Jan 5, 2015","Nov 04, 2020",True
com.fengiiley.frlegends,FR Legends,"twin turbo tech co., ltd",1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,racing,2.09,104.99,free,0.0,4.5,"63,315",63315,"Oct 29, 2018","Nov 19, 2020",False
com.supergame.ultrasharp.cutitdown,Cut It: Brain Puzzles,super game studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,1.09,5.49,free,0.0,4.4,"115,497",115497,"Sep 5, 2018","May 01, 2020",True
com.dreamplay.realmoto.google,Real Moto,dreamplay games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,racing,1.09,99.99,free,0.0,4.1,"166,795",166795,"Apr 29, 2016","Jul 06, 2020",False
com.treemengames.pako2,PAKO 2,tree men games,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,1000000.0,racing,0.59,4.79,free,0.0,3.7,"22,232",22232,"Apr 4, 2018","Sep 08, 2020",True
com.playsportgames.mmm3,Motorsport Manager Mobile 3,playsport games,1.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,100000.0,racing,2.39,11.99,4.49,1.0,4.6,"16,801",16801,"Jul 17, 2018","May 19, 2020",True
com.gameloft.android.ANMP.GloftOLHM,Gangstar New Orleans OpenWorld,gameloft se,1.0,1.0,0.0,0.0,0.0,1.0,1,18+,0.0,10000000.0,action,0.50,99.99,free,0.0,4.2,"461,151",461151,"Mar 29, 2017","Sep 15, 2020",True
com.squareenixmontreal.hitmansniperandroid,Hitman Sniper,square enix ltd,1.0,1.0,1.0,0.0,0.0,0.0,1,18+,0.0,10000000.0,action,0.99,54.99,0.99,1.0,4.5,"733,331",733331,"Jun 3, 2015","Aug 24, 2020",True
com.ape.games.mycolony,My Colony,brandon stecklein,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,simulation,5.49,5.49,free,0.0,4.1,"45,959",45959,"May 16, 2016","Nov 21, 2020",True
com.AandBDevelopment.GoldRush,Gold Rush Sim - Klondike Yukon gold rush simulator,a&b development,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,simulation,1.99,7.99,free,0.0,3.9,"3,565",3565,"Feb 17, 2018","Nov 26, 2020",False
