purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3
1,1,0,0,1,everyone,0,0,Sports,0,0, 1.11 ,4.5
1,1,0,0,0,16+,0,0,Arcade,1,1, 9.90 ,4.4
1,1,1,0,1,12+,0,0,Casino,0,1, 2.87 ,4.3
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.22 ,4.5
1,1,0,0,0,everyone,0,0,Sports,1,1, 18.78 ,4.4
1,1,0,0,1,everyone,0,0,Simulation,0,1, 1.05 ,3.4
1,1,0,0,0,everyone,0,0,Trivia,0,1, 2.53 ,4.5
1,0,0,0,1,16+,0,0,Action,1,1, 35.45 ,4.2
1,1,0,0,0,everyone,0,0,Action,0,0, 28.90 ,4.1
1,1,0,0,0,12+,0,0,Simulation,0,0, 1.29 ,4.1
1,0,0,0,1,12+,0,0,Action,1,0, 67.83 ,4.2
1,1,0,0,0,7+,0,0,Racing,0,1, 2.35 ,4.3
1,1,0,0,0,everyone,0,0,Action,0,1, 0.13 ,3.8
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 17.14 ,3.8
1,1,0,0,0,everyone,0,0,Sports,1,1, 13.55 ,4.2
1,1,0,0,0,7+,0,0,Action,0,1, 22.43 ,4
1,1,0,0,0,everyone,0,0,Sports,0,1, 4.46 ,4.2
1,0,0,0,1,16+,0,0,Adventure,0,0, 0.42 ,4.6
0,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.30 ,4.5
0,1,0,0,0,everyone,0,0,Arcade,0,1, 0.21 ,4.5
1,1,0,0,0,everyone,0,0,Arcade,0,1, 1.79 ,4.4
0,1,1,0,0,everyone,0,0,Racing,0,1, 0.27 ,3.3
0,0,0,0,0,everyone,0,0,Music,0,1, 0.18 ,3.4
1,1,0,0,1,everyone,0,0,Arcade,0,1, 1.37 ,4.2
1,1,0,0,0,16+,0,0,Simulation,0,0, 0.39 ,4.6
1,0,0,0,0,16+,0,0,Action,1,1, 8.05 ,4.3
1,1,0,0,0,12+,0,0,Action,0,1, 5.67 ,4.1
1,1,0,0,0,7+,0,0,Board,0,1, 5.56 ,4.4
1,1,0,0,0,everyone,0,0,Racing,0,0, 0.61 ,4.5
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.98 ,4.1
1,1,0,0,0,everyone,0,0,Racing,0,0, 1.05 ,3.8
1,1,0,0,0,7+,0,0,Racing,0,1, 0.43 ,4.1
1,0,0,0,0,12+,0,1,Racing,0,1, 0.06 ,4.5
1,1,0,0,1,18+,0,0,Action,0,1, 2.10 ,4.3
